Title,URL,Source,Publication Date,Summary,Emotion Label,Thematic Label
Communities Mobilize for Support #205,https://www.vox.com/article-00204,Time Magazine,2015-07-06,News coverage about state immigration. This article discusses developments and their impact on communities.,Anger,Policy Changes
Congress Debates Legislation #420,https://www.axios.com/immigrant-rights-0419,Time Magazine,2015-08-08,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Fear,Rights Issues
Judge Halts Controversial Policy #386,https://reuters.com/us/story/0385,CNN,2015-08-08,News coverage about deportation. This article discusses developments and their impact on communities.,Concern,Rights Issues
Investigation Reveals Issues #479,https://www.axios.com/state-immigration-0478,NBC News,2015-08-11,News coverage about state immigration. This article discusses developments and their impact on communities.,Despair,Policy Changes
Detention Center Conditions Under Review #97,https://www.slate.com/article-00096,CBS News,2015-08-11,News coverage about family separation. This article discusses developments and their impact on communities.,Anxious,Detention Conditions
State Takes Action on Immigration #30,https://www.nytimes.com/ICE-raids-0029,Politico,2015-08-21,News coverage about ICE raids. This article discusses developments and their impact on communities.,Fear,Community Response
Workers Organize for Rights #423,https://www.washingtonpost.com/sanctuary-cities-0422,BBC News,2015-08-26,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Fear,Family Separation
Federal Court Rules on Immigration Case #90,https://www.time.com/article-00089,NBC News,2015-09-02,News coverage about state immigration. This article discusses developments and their impact on communities.,Grief,Rights Issues
Rights Groups File Lawsuit #86,https://news.bbc.com/article/00085/government-immigration,Vox,2015-09-04,News coverage about government immigration. This article discusses developments and their impact on communities.,Anxious,Family Separation
Legal Challenges to Immigration Rules #288,https://news.apnews.com/article/00287/immigration-reform,NBC News,2015-09-17,News coverage about immigration reform. This article discusses developments and their impact on communities.,Concern,Family Separation
Leaders Address Immigration Crisis #128,https://motherjones.org/news/000127,Mother Jones,2015-10-09,News coverage about family separation. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
Report Documents Policy Impact #380,https://abcnews.org/news/000379,ABC News,2015-11-15,News coverage about deportation. This article discusses developments and their impact on communities.,Anger,Detention Conditions
Detention Center Conditions Under Review #260,https://www.nytimes.com/immigrant-workers-0259,Bloomberg,2015-11-20,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Concern,Policy Changes
Rights Groups File Lawsuit #7,https://abcnews.org/news/000006,ABC News,2015-11-23,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Frustration,Detention Conditions
Asylum Seekers Face Uncertain Future #59,https://www.politico.com/detention-facilities-0058,The Guardian,2015-11-27,News coverage about detention facilities. This article discusses developments and their impact on communities.,Despair,Policy Changes
Rights Groups File Lawsuit #308,https://news.apnews.com/article/00307/detention-facilities,Newsweek,2015-12-14,News coverage about detention facilities. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Federal Court Rules on Immigration Case #449,https://news.apnews.com/article/00448/sanctuary-cities,ProPublica,2015-12-27,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Despair,Policy Changes
Judge Halts Controversial Policy #96,https://news.apnews.com/article/00095/border-enforcement,Washington Post,2015-12-27,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Policy Changes
New Immigration Policy Affects Thousands #109,https://cnbc.org/news/000108,CNBC,2016-01-06,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anger,Detention Conditions
Leaders Address Immigration Crisis #127,https://www.nytimes.com/asylum-seekers-0126,Newsweek,2016-01-11,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Dismay,Family Separation
Asylum Seekers Face Uncertain Future #106,https://www.nytimes.com/legal-immigration-0105,Politico,2016-02-13,News coverage about legal immigration. This article discusses developments and their impact on communities.,Grief,Detention Conditions
Communities Rally for Reform #370,https://news.reuters.com/article/00369/federal-immigration,ABC News,2016-02-15,News coverage about federal immigration. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Judge Halts Controversial Policy #95,https://www.thehill.com/article-00094,NBC News,2016-03-04,News coverage about deportation. This article discusses developments and their impact on communities.,Anger,Policy Changes
Judge Halts Controversial Policy #298,https://reuters.com/us/story/0297,BBC News,2016-03-09,News coverage about ICE raids. This article discusses developments and their impact on communities.,Dismay,Rights Issues
Aid Organizations Respond #220,https://cnbc.org/news/000219,CNBC,2016-03-24,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Dismay,Family Separation
Detention Center Conditions Under Review #147,https://newyorktimes.org/news/000146,New York Times,2016-03-30,News coverage about federal immigration. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Asylum Seekers Face Uncertain Future #17,https://cnn.com/us/story/0016,USA Today,2016-04-03,News coverage about legal immigration. This article discusses developments and their impact on communities.,Fear,Rights Issues
Federal Court Rules on Immigration Case #131,https://reuters.com/us/story/0130,Slate,2016-04-10,News coverage about ICE raids. This article discusses developments and their impact on communities.,Grief,Community Response
Federal Court Rules on Immigration Case #240,https://bloomberg.org/news/000239,Bloomberg,2016-04-29,News coverage about border enforcement. This article discusses developments and their impact on communities.,Concern,Detention Conditions
Legal Challenges to Immigration Rules #139,https://cnbc.org/news/000138,CNBC,2016-05-15,News coverage about deportation. This article discusses developments and their impact on communities.,Fear,Community Response
Legal Challenges to Immigration Rules #200,https://reuters.com/us/story/0199,Washington Post,2016-05-28,News coverage about federal immigration. This article discusses developments and their impact on communities.,Sadness,Community Response
Congress Debates Legislation #134,https://bbc.com/us/story/0133,NPR,2016-05-31,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Concern,Policy Changes
Advocacy Groups Demand Changes #250,https://bbc.com/us/story/0249,Slate,2016-06-05,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Federal Court Rules on Immigration Case #40,https://www.nytimes.com/border-enforcement-0039,Reuters,2016-06-06,News coverage about border enforcement. This article discusses developments and their impact on communities.,Frustration,Community Response
Workers Organize for Rights #336,https://www.politico.com/immigrant-workers-0335,Fox News,2016-06-24,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Federal Court Rules on Immigration Case #461,https://theatlantic.org/news/000460,The Atlantic,2016-06-27,News coverage about federal immigration. This article discusses developments and their impact on communities.,Frustration,Community Response
Communities Mobilize for Support #56,https://www.time.com/article-00055,Bloomberg,2016-06-30,News coverage about federal immigration. This article discusses developments and their impact on communities.,Outrage,Policy Changes
New Immigration Policy Affects Thousands #428,https://www.vox.com/article-00427,Washington Post,2016-07-02,News coverage about legal immigration. This article discusses developments and their impact on communities.,Anxious,Family Separation
Advocacy Groups Demand Changes #124,https://www.axios.com/sanctuary-cities-0123,Fox News,2016-07-09,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Fear,Policy Changes
Report Documents Policy Impact #357,https://www.nytimes.com/state-immigration-0356,Mother Jones,2016-07-11,News coverage about state immigration. This article discusses developments and their impact on communities.,Grief,Detention Conditions
New Immigration Policy Affects Thousands #193,https://news.cnn.com/article/00192/deportation,Politico,2016-07-17,News coverage about deportation. This article discusses developments and their impact on communities.,Sadness,Policy Changes
New Immigration Policy Affects Thousands #176,https://bbc.com/us/story/0175,Reuters,2016-07-17,News coverage about border enforcement. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Leaders Address Immigration Crisis #332,https://motherjones.org/news/000331,Mother Jones,2016-07-27,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anxious,Detention Conditions
Workers Organize for Rights #496,https://www.axios.com/detention-facilities-0495,Bloomberg,2016-07-28,News coverage about detention facilities. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
New Guidelines Change Enforcement #454,https://www.nytimes.com/government-immigration-0453,The Atlantic,2016-07-29,News coverage about government immigration. This article discusses developments and their impact on communities.,Fear,Policy Changes
Experts Debate Security Measures #165,https://news.cnn.com/article/00164/border-enforcement,USA Today,2016-08-02,News coverage about border enforcement. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Advocacy Groups Demand Changes #309,https://www.vox.com/article-00308,Politico,2016-08-02,News coverage about immigration reform. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Report Documents Policy Impact #112,https://news.apnews.com/article/00111/sanctuary-cities,ABC News,2016-08-09,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Concern,Rights Issues
Investigation Reveals Issues #320,https://cnn.com/us/story/0319,The Atlantic,2016-08-22,News coverage about deportation. This article discusses developments and their impact on communities.,Despair,Policy Changes
Detention Center Conditions Under Review #174,https://www.thehill.com/article-00173,CNBC,2016-08-26,News coverage about ICE raids. This article discusses developments and their impact on communities.,Despair,Community Response
State Takes Action on Immigration #396,https://bbc.com/us/story/0395,Vox,2016-08-28,News coverage about border enforcement. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Federal Court Rules on Immigration Case #398,https://cnn.com/us/story/0397,The Guardian,2016-09-04,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Concern,Community Response
Investigation Reveals Issues #67,https://www.time.com/article-00066,ABC News,2016-09-16,News coverage about detention facilities. This article discusses developments and their impact on communities.,Frustration,Family Separation
Aid Organizations Respond #156,https://bbc.com/us/story/0155,Mother Jones,2016-09-18,News coverage about state immigration. This article discusses developments and their impact on communities.,Grief,Rights Issues
Asylum Seekers Face Uncertain Future #359,https://www.nytimes.com/border-enforcement-0358,Newsweek,2016-10-07,News coverage about border enforcement. This article discusses developments and their impact on communities.,Anxious,Detention Conditions
Federal Court Rules on Immigration Case #99,https://www.axios.com/family-separation-0098,New York Times,2016-10-10,News coverage about family separation. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Investigation Reveals Issues #202,https://news.reuters.com/article/00201/deportation,NBC News,2016-11-05,News coverage about deportation. This article discusses developments and their impact on communities.,Anxious,Rights Issues
Communities Rally for Reform #345,https://news.apnews.com/article/00344/detention-facilities,USA Today,2016-11-14,News coverage about detention facilities. This article discusses developments and their impact on communities.,Outrage,Legal Barriers
Leaders Address Immigration Crisis #490,https://bbcnews.org/news/000489,BBC News,2016-11-21,News coverage about deportation. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Communities Rally for Reform #52,https://news.apnews.com/article/00051/ICE-raids,Newsweek,2016-11-26,News coverage about ICE raids. This article discusses developments and their impact on communities.,Concern,Family Separation
Workers Organize for Rights #389,https://www.axios.com/article-00388,Time Magazine,2016-11-30,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Rights Issues
Advocacy Groups Demand Changes #395,https://news.reuters.com/article/00394/asylum-seekers,NBC News,2016-12-09,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Anxious,Rights Issues
State Takes Action on Immigration #303,https://www.axios.com/detention-facilities-0302,The Hill,2016-12-15,News coverage about detention facilities. This article discusses developments and their impact on communities.,Sadness,Family Separation
Advocacy Groups Demand Changes #72,https://www.time.com/article-00071,Slate,2016-12-22,News coverage about family separation. This article discusses developments and their impact on communities.,Dismay,Detention Conditions
State Takes Action on Immigration #248,https://www.slate.com/article-00247,Mother Jones,2017-01-07,News coverage about detention facilities. This article discusses developments and their impact on communities.,Fear,Rights Issues
Asylum Seekers Face Uncertain Future #143,https://news.cnn.com/article/00142/immigrant-rights,The Guardian,2017-01-13,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Outrage,Family Separation
Families Separated by Policies #94,https://www.slate.com/article-00093,Axios,2017-01-13,News coverage about immigration reform. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Leaders Address Immigration Crisis #379,https://www.time.com/article-00378,Vox,2017-01-15,News coverage about deportation. This article discusses developments and their impact on communities.,Frustration,Rights Issues
New Guidelines Change Enforcement #184,https://news.cnn.com/article/00183/ICE-raids,The Guardian,2017-01-16,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anger,Detention Conditions
Rights Groups File Lawsuit #236,https://www.guardian.com/government-immigration-0235,BBC News,2017-02-01,News coverage about government immigration. This article discusses developments and their impact on communities.,Dismay,Rights Issues
Communities Rally for Reform #25,https://www.vox.com/article-00024,The Hill,2017-02-18,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Fear,Policy Changes
Investigation Reveals Issues #79,https://www.vox.com/article-00078,Washington Post,2017-02-27,News coverage about ICE raids. This article discusses developments and their impact on communities.,Dismay,Community Response
New Immigration Policy Affects Thousands #362,https://news.bbc.com/article/00361/deportation,Fox News,2017-03-22,News coverage about deportation. This article discusses developments and their impact on communities.,Fear,Family Separation
Families Separated by Policies #16,https://cnn.com/us/story/0015,The Guardian,2017-03-25,News coverage about deportation. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Legal Challenges to Immigration Rules #114,https://bbc.com/us/story/0113,Fox News,2017-03-26,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Dismay,Detention Conditions
New Immigration Policy Affects Thousands #425,https://news.bbc.com/article/00424/deportation,Slate,2017-03-27,News coverage about deportation. This article discusses developments and their impact on communities.,Anxious,Family Separation
Aid Organizations Respond #350,https://newyorktimes.org/news/000349,New York Times,2017-04-01,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Grief,Family Separation
Rights Groups File Lawsuit #8,https://www.axios.com/border-enforcement-0007,Newsweek,2017-05-08,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Policy Changes
Detention Center Conditions Under Review #381,https://news.bbc.com/article/00380/government-immigration,ABC News,2017-05-08,News coverage about government immigration. This article discusses developments and their impact on communities.,Despair,Policy Changes
Leaders Address Immigration Crisis #294,https://www.slate.com/article-00293,Bloomberg,2017-05-08,News coverage about state immigration. This article discusses developments and their impact on communities.,Concern,Family Separation
Experts Debate Security Measures #34,https://politico.org/news/000033,Politico,2017-05-23,News coverage about border enforcement. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Workers Organize for Rights #212,https://bbc.com/us/story/0211,Axios,2017-05-31,News coverage about deportation. This article discusses developments and their impact on communities.,Concern,Community Response
Aid Organizations Respond #455,https://news.reuters.com/article/00454/immigrant-workers,Bloomberg,2017-06-02,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Fear,Policy Changes
Workers Organize for Rights #270,https://reuters.com/us/story/0269,Politico,2017-06-14,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Detention Center Conditions Under Review #497,https://www.nytimes.com/sanctuary-cities-0496,Mother Jones,2017-06-15,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Anxious,Community Response
Experts Debate Security Measures #483,https://www.axios.com/government-immigration-0482,The Guardian,2017-06-19,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Detention Center Conditions Under Review #486,https://cnn.com/us/story/0485,Vox,2017-06-23,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Detention Center Conditions Under Review #132,https://news.nbc.com/article/00131/immigration-policy,Vox,2017-06-26,News coverage about immigration policy. This article discusses developments and their impact on communities.,Grief,Policy Changes
New Immigration Policy Affects Thousands #43,https://www.guardian.com/immigrant-workers-0042,CBS News,2017-06-30,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Legal Challenges to Immigration Rules #226,https://www.slate.com/article-00225,New York Times,2017-07-10,News coverage about state immigration. This article discusses developments and their impact on communities.,Outrage,Rights Issues
Leaders Address Immigration Crisis #329,https://foxnews.org/news/000328,Fox News,2017-07-26,News coverage about ICE raids. This article discusses developments and their impact on communities.,Despair,Family Separation
Detention Center Conditions Under Review #21,https://news.bbc.com/article/00020/asylum-seekers,Axios,2017-07-31,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Investigation Reveals Issues #88,https://www.politico.com/government-immigration-0087,New York Times,2017-08-06,News coverage about government immigration. This article discusses developments and their impact on communities.,Dismay,Rights Issues
State Takes Action on Immigration #104,https://www.axios.com/article-00103,Axios,2017-09-05,News coverage about immigration reform. This article discusses developments and their impact on communities.,Despair,Rights Issues
State Takes Action on Immigration #474,https://timemagazine.org/news/000473,Time Magazine,2017-09-11,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Fear,Policy Changes
Detention Center Conditions Under Review #209,https://news.apnews.com/article/00208/ICE-raids,Bloomberg,2017-09-17,News coverage about ICE raids. This article discusses developments and their impact on communities.,Concern,Policy Changes
Advocacy Groups Demand Changes #222,https://reuters.org/news/000221,Reuters,2017-09-19,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Families Separated by Policies #153,https://cnbc.org/news/000152,CNBC,2017-09-23,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Anxious,Detention Conditions
State Takes Action on Immigration #274,https://www.axios.com/article-00273,The Atlantic,2017-09-23,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Despair,Community Response
Aid Organizations Respond #31,https://bbc.com/us/story/0030,Axios,2017-10-05,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Legal Challenges to Immigration Rules #162,https://www.axios.com/sanctuary-cities-0161,The Atlantic,2017-10-11,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Frustration,Detention Conditions
Workers Organize for Rights #295,https://bbc.com/us/story/0294,Newsweek,2017-10-31,News coverage about detention facilities. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Legal Challenges to Immigration Rules #47,https://www.nytimes.com/government-immigration-0046,Reuters,2017-11-09,News coverage about government immigration. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Federal Court Rules on Immigration Case #177,https://www.time.com/article-00176,CBS News,2017-11-14,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Concern,Family Separation
Congress Debates Legislation #475,https://bbc.com/us/story/0474,The Hill,2017-11-16,News coverage about government immigration. This article discusses developments and their impact on communities.,Grief,Policy Changes
Leaders Address Immigration Crisis #119,https://news.apnews.com/article/00118/state-immigration,ProPublica,2017-11-18,News coverage about state immigration. This article discusses developments and their impact on communities.,Anxious,Rights Issues
Communities Rally for Reform #418,https://news.nbc.com/article/00417/state-immigration,Slate,2017-11-25,News coverage about state immigration. This article discusses developments and their impact on communities.,Frustration,Family Separation
Judge Halts Controversial Policy #384,https://news.apnews.com/article/00383/ICE-raids,CNN,2017-12-05,News coverage about ICE raids. This article discusses developments and their impact on communities.,Fear,Detention Conditions
Communities Rally for Reform #444,https://reuters.com/us/story/0443,Time Magazine,2017-12-07,News coverage about deportation. This article discusses developments and their impact on communities.,Frustration,Community Response
Detention Center Conditions Under Review #344,https://theatlantic.org/news/000343,The Atlantic,2017-12-13,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Grief,Community Response
Communities Mobilize for Support #36,https://cnn.org/news/000035,CNN,2017-12-19,News coverage about legal immigration. This article discusses developments and their impact on communities.,Anxious,Rights Issues
Advocacy Groups Demand Changes #11,https://reuters.com/us/story/0010,The Guardian,2017-12-20,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Legal Challenges to Immigration Rules #390,https://www.vox.com/article-00389,AP News,2017-12-21,News coverage about federal immigration. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Leaders Address Immigration Crisis #319,https://politico.org/news/000318,Politico,2017-12-31,News coverage about legal immigration. This article discusses developments and their impact on communities.,Sadness,Family Separation
State Takes Action on Immigration #10,https://www.vox.com/article-00009,AP News,2018-01-01,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Grief,Family Separation
Asylum Seekers Face Uncertain Future #283,https://news.reuters.com/article/00282/immigration-reform,The Guardian,2018-01-02,News coverage about immigration reform. This article discusses developments and their impact on communities.,Anger,Detention Conditions
Detention Center Conditions Under Review #9,https://www.washingtonpost.com/government-immigration-0008,Time Magazine,2018-01-10,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Communities Rally for Reform #229,https://reuters.com/us/story/0228,The Hill,2018-01-15,News coverage about government immigration. This article discusses developments and their impact on communities.,Anxious,Legal Barriers
Detention Center Conditions Under Review #441,https://www.politico.com/government-immigration-0440,Fox News,2018-01-18,News coverage about government immigration. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
Leaders Address Immigration Crisis #227,https://newyorktimes.org/news/000226,New York Times,2018-01-25,News coverage about ICE raids. This article discusses developments and their impact on communities.,Concern,Legal Barriers
Rights Groups File Lawsuit #190,https://bbc.com/us/story/0189,Time Magazine,2018-01-29,News coverage about state immigration. This article discusses developments and their impact on communities.,Anger,Family Separation
Detention Center Conditions Under Review #256,https://www.slate.com/article-00255,Reuters,2018-02-01,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Leaders Address Immigration Crisis #129,https://news.nbc.com/article/00128/detention-facilities,The Guardian,2018-02-09,News coverage about detention facilities. This article discusses developments and their impact on communities.,Anger,Detention Conditions
Families Separated by Policies #339,https://cnn.com/us/story/0338,AP News,2018-02-10,News coverage about border enforcement. This article discusses developments and their impact on communities.,Despair,Community Response
Legal Challenges to Immigration Rules #215,https://www.vox.com/article-00214,Vox,2018-02-19,News coverage about federal immigration. This article discusses developments and their impact on communities.,Frustration,Community Response
Asylum Seekers Face Uncertain Future #75,https://www.axios.com/government-immigration-0074,Vox,2018-02-19,News coverage about government immigration. This article discusses developments and their impact on communities.,Anxious,Rights Issues
Workers Organize for Rights #387,https://reuters.com/us/story/0386,New York Times,2018-02-27,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
New Guidelines Change Enforcement #28,https://cnbc.org/news/000027,CNBC,2018-03-14,News coverage about government immigration. This article discusses developments and their impact on communities.,Anger,Community Response
New Guidelines Change Enforcement #228,https://www.thehill.com/article-00227,The Atlantic,2018-03-24,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anxious,Community Response
Detention Center Conditions Under Review #6,https://news.apnews.com/article/00005/immigrant-rights,Time Magazine,2018-04-15,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Anxious,Detention Conditions
Federal Court Rules on Immigration Case #473,https://news.nbc.com/article/00472/state-immigration,CBS News,2018-04-17,News coverage about state immigration. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Communities Mobilize for Support #168,https://cnn.org/news/000167,CNN,2018-04-26,News coverage about family separation. This article discusses developments and their impact on communities.,Sadness,Community Response
Rights Groups File Lawsuit #302,https://news.bbc.com/article/00301/state-immigration,Reuters,2018-05-14,News coverage about state immigration. This article discusses developments and their impact on communities.,Anxious,Community Response
Families Separated by Policies #291,https://www.thehill.com/article-00290,Washington Post,2018-05-15,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Concern,Rights Issues
Federal Court Rules on Immigration Case #178,https://news.reuters.com/article/00177/immigration-policy,CNN,2018-05-18,News coverage about immigration policy. This article discusses developments and their impact on communities.,Grief,Community Response
Workers Organize for Rights #482,https://news.apnews.com/article/00481/ICE-raids,Vox,2018-05-19,News coverage about ICE raids. This article discusses developments and their impact on communities.,Sadness,Community Response
Communities Rally for Reform #239,https://axios.org/news/000238,Axios,2018-05-21,News coverage about government immigration. This article discusses developments and their impact on communities.,Anger,Rights Issues
Congress Debates Legislation #412,https://news.nbc.com/article/00411/family-separation,Newsweek,2018-05-22,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Community Response
Asylum Seekers Face Uncertain Future #91,https://www.time.com/article-00090,The Atlantic,2018-05-30,News coverage about immigration reform. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
Experts Debate Security Measures #171,https://www.time.com/article-00170,ProPublica,2018-06-21,News coverage about legal immigration. This article discusses developments and their impact on communities.,Despair,Community Response
Judge Halts Controversial Policy #208,https://bbc.com/us/story/0207,The Atlantic,2018-07-04,News coverage about deportation. This article discusses developments and their impact on communities.,Fear,Detention Conditions
Detention Center Conditions Under Review #232,https://cnn.com/us/story/0231,New York Times,2018-08-08,News coverage about federal immigration. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Aid Organizations Respond #73,https://www.slate.com/article-00072,ABC News,2018-08-13,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Dismay,Rights Issues
Detention Center Conditions Under Review #414,https://www.washingtonpost.com/border-enforcement-0413,NPR,2018-08-24,News coverage about border enforcement. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Communities Mobilize for Support #306,https://cbsnews.org/news/000305,CBS News,2018-08-28,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Despair,Community Response
Workers Organize for Rights #65,https://news.cnn.com/article/00064/state-immigration,Washington Post,2018-08-31,News coverage about state immigration. This article discusses developments and their impact on communities.,Anger,Rights Issues
State Takes Action on Immigration #322,https://cnn.com/us/story/0321,Axios,2018-09-02,News coverage about immigration policy. This article discusses developments and their impact on communities.,Anxious,Policy Changes
